#	X	Y	Z
211	15	16	18	19
212	15	16	19	20
213	15	17	18	20
214	15	17	20	19
215	15	17	19	21
216	15	18	20	23
217	15	19	21	25
218	15	20	22	27
219	15	21	22	28
220	15	21	28	23
221	15	21	23	29
222	15	22	24	31
223	15	23	25	33
224	15	24	26	35
225	16	17	18	19
226	16	17	19	20
227	16	17	20	21
228	16	18	19	21
229	16	18	21	20
230	16	18	20	22
231	16	19	21	24
232	16	20	22	26
233	16	21	23	28
234	16	22	23	29
235	16	22	29	24
236	16	22	24	30
237	16	23	25	32
238	16	24	26	34
239	16	25	27	36
240	17	18	19	20
241	17	18	20	21
242	17	18	21	22
243	17	19	20	22
244	17	19	22	21
245	17	19	21	23
246	17	20	22	25
247	17	21	23	27
248	17	22	24	29
249	17	23	24	30
250	17	23	30	25
251	17	23	25	31
252	17	24	26	33
253	17	25	27	35
254	17	26	28	37
255	18	19	20	21
256	18	19	21	22
257	18	19	22	23
258	18	20	21	23
259	18	20	23	22
260	18	20	22	24
261	18	21	23	26
262	18	22	24	28
263	18	23	25	30
264	18	24	25	31
265	18	24	31	26
266	18	24	26	32
267	18	25	27	34
268	18	26	28	36
269	18	27	29	38
270	19	20	21	22
271	19	20	22	23
272	19	20	23	24
273	19	21	22	24
274	19	21	24	23
275	19	21	23	25
276	19	22	24	27
277	19	23	25	29
278	19	24	26	31
279	19	25	26	32
280	19	25	32	27
281	19	25	27	33
282	19	26	28	35
283	19	27	29	37
284	19	28	30	39
285	20	21	22	23
286	20	21	23	24
287	20	21	24	25
288	20	22	23	25
289	20	22	25	24
290	20	22	24	26
291	20	23	25	28
292	20	24	26	30
293	20	25	27	32
294	20	26	27	33
295	20	26	33	28
296	20	26	28	34
297	20	27	29	36
298	20	28	30	38
299	20	29	31	40
300	21	22	23	24
301	21	22	24	25
302	21	22	25	26
303	21	23	24	26
304	21	23	26	25
305	21	23	25	27
306	21	24	26	29
307	21	25	27	31
308	21	26	28	33
309	21	27	28	34
310	21	27	34	29
311	21	27	29	35
312	21	28	30	37
313	21	29	31	39
314	21	30	32	41
315	22	23	24	25
316	22	23	25	26
317	22	23	26	27
318	22	24	25	27
319	22	24	27	26
320	22	24	26	28
321	22	25	27	30
322	22	26	28	32
323	22	27	29	34
324	22	28	29	35
325	22	28	35	30
326	22	28	30	36
327	22	29	31	38
328	22	30	32	40
329	22	31	33	42
330	23	24	25	26
331	23	24	26	27
332	23	24	27	28
333	23	25	26	28
334	23	25	28	27
335	23	25	27	29
336	23	26	28	31
337	23	27	29	33
338	23	28	30	35
339	23	29	30	36
340	23	29	36	31
341	23	29	31	37
342	23	30	32	39
343	23	31	33	41
344	23	32	34	43
345	24	25	26	27
346	24	25	27	28
347	24	25	28	29
348	24	26	27	29
349	24	26	29	28
350	24	26	28	30
351	24	27	29	32
352	24	28	30	34
353	24	29	31	36
354	24	30	31	37
355	24	30	37	32
356	24	30	32	38
357	24	31	33	40
358	24	32	34	42
359	24	33	35	44
360	25	26	27	28
361	25	26	28	29
362	25	26	29	30
363	25	27	28	30
364	25	27	30	29
365	25	27	29	31
366	25	28	30	33
367	25	29	31	35
368	25	30	32	37
369	25	31	32	38
370	25	31	38	33
371	25	31	33	39
372	25	32	34	41
373	25	33	35	43
374	25	34	36	45
375	26	27	28	29
376	26	27	29	30
377	26	27	30	31
378	26	28	29	31
379	26	28	31	30
380	26	28	30	32
381	26	29	31	34
382	26	30	32	36
383	26	31	33	38
384	26	32	33	39
385	26	32	39	34
386	26	32	34	40
387	26	33	35	42
388	26	34	36	44
389	26	35	37	46
390	27	28	29	30
391	27	28	30	31
392	27	28	31	32
393	27	29	30	32
394	27	29	32	31
395	27	29	31	33
396	27	30	32	35
397	27	31	33	37
398	27	32	34	39
399	27	33	34	40
400	27	33	40	35
401	27	33	35	41
402	27	34	36	43
403	27	35	37	45
404	27	36	38	47
405	28	29	30	31
406	28	29	31	32
407	28	29	32	33
408	28	30	31	33
409	28	30	33	32
410	28	30	32	34
411	28	31	33	36
412	28	32	34	38
413	28	33	35	40
414	28	34	35	41
415	28	34	41	36
416	28	34	36	42
417	28	35	37	44
418	28	36	38	46
419	28	37	39	48
420	29	30	31	32
421	29	30	32	33
422	29	30	33	34
423	29	31	32	34
424	29	31	34	33
425	29	31	33	35
426	29	32	34	37
427	29	33	35	39
428	29	34	36	41
429	29	35	36	42
430	29	35	42	37
431	29	35	37	43
432	29	36	38	45
433	29	37	39	47
434	30	31	32	33
435	30	31	33	34
436	30	31	34	35
437	30	32	33	35
438	30	32	35	34
439	30	32	34	36
440	30	33	35	38
441	30	34	36	40
442	30	35	37	42
443	30	36	37	43
444	30	36	43	38
445	30	36	38	44
446	30	37	39	46
447	30	38	40	48
448	31	32	33	34
449	31	32	34	35
450	31	32	35	36
451	31	33	34	36
452	31	33	36	35
453	31	33	35	37
454	31	34	36	39
455	31	35	37	41
456	31	36	38	43
457	31	37	38	44
458	31	37	44	39
459	31	37	39	45
460	31	38	40	47
461	32	33	34	35
462	32	33	35	36
463	32	33	36	37
464	32	34	35	37
465	32	34	37	36
466	32	34	36	38
467	32	35	37	40
468	32	36	38	42
469	32	37	39	44
470	32	38	39	45
471	32	38	45	40
472	32	38	40	46
473	32	39	41	48
474	33	34	35	36
475	33	34	36	37
476	33	34	37	38
477	33	35	36	38
478	33	35	38	37
479	33	35	37	39
480	33	36	38	41
481	33	37	39	43
482	33	38	40	45
483	33	39	40	46
484	33	39	46	41
485	33	39	41	47
486	34	35	36	37
487	34	35	37	38
488	34	35	38	39
489	34	36	37	39
490	34	36	39	38
491	34	36	38	40
492	34	37	39	42
493	34	38	40	44
494	34	39	41	46
495	34	40	41	47
496	34	40	47	42
497	34	40	42	48
498	35	36	37	38
499	35	36	38	39
500	35	36	39	40
501	35	37	38	40
502	35	37	40	39
503	35	37	39	41
504	35	38	40	43
505	35	39	41	45
506	35	40	42	47
507	35	41	42	48
508	36	37	38	39
509	36	37	39	40
510	36	37	40	41
511	36	38	39	41
512	36	38	41	40
513	36	38	40	42
514	36	39	41	44
515	36	40	42	46
516	36	41	43	48
517	37	38	39	40
518	37	38	41	42
519	37	38	40	41
520	37	39	40	42
521	37	39	42	41
522	37	39	41	43
523	37	40	42	45
524	37	41	43	47
525	38	39	42	43
526	38	39	40	41
527	38	39	41	42
528	38	40	41	43
529	38	40	43	42
530	38	40	42	44
531	38	41	43	46
532	38	42	44	48
533	39	40	43	44
534	39	40	41	42
535	39	40	42	43
536	39	41	42	44
537	39	41	44	43
538	39	41	43	45
539	39	42	44	47
540	40	41	44	45
541	40	41	42	43
542	40	41	43	44
543	40	42	43	45
544	40	42	45	44
545	40	42	44	46
546	40	43	45	48
547	41	42	45	46
548	41	42	43	44
549	41	42	44	45
550	41	43	44	46
551	41	43	46	45
552	41	43	45	47
553	42	43	44	45
554	42	43	45	46
555	42	43	46	47
556	42	44	45	47
557	42	44	47	46
558	42	44	46	48
559	43	44	45	46
560	43	44	46	47
561	43	44	47	48
562	43	45	46	48
563	44	45	46	47
564	44	45	47	48
565	45	46	47	48
566	4	5	1	2
567	6	5	1	3
568	7	11	1	5
569	14	9	1	7
570	11	19	1	9
571	5	6	2	3
572	7	6	2	4
573	8	12	2	6
574	15	10	2	8
575	12	20	2	10
576	6	7	3	4
577	8	7	3	5
578	10	15	3	8
579	11	17	3	9
580	14	23	3	12
581	8	9	4	5
582	8	10	4	6
583	11	16	4	9
584	12	18	4	10
585	15	24	4	13
586	9	10	5	6
587	9	11	5	7
588	12	17	5	10
589	13	19	5	11
590	16	25	5	14
591	10	11	6	7
592	10	12	6	8
593	13	18	6	11
594	14	20	6	12
595	17	26	6	15
596	11	12	7	8
597	11	13	7	9
598	14	19	7	12
599	15	21	7	13
600	18	27	7	16
601	12	13	8	9
602	12	14	8	10
603	15	20	8	13
604	16	22	8	14
605	19	28	8	17
606	13	14	9	10
607	13	15	9	11
608	16	21	9	14
609	17	23	9	15
610	20	29	9	18
611	14	15	10	11
612	14	16	10	12
613	17	22	10	15
614	18	24	10	16
615	21	30	10	19
616	15	16	11	12
617	15	17	11	13
618	18	23	11	16
619	19	25	11	17
620	22	31	11	20
621	16	17	12	13
622	16	18	12	14
623	19	24	12	17
624	20	26	12	18
625	23	32	12	21
626	17	18	13	14
627	17	19	13	15
628	20	25	13	18
629	21	27	13	19
630	24	33	13	22
631	18	19	14	15
632	18	20	14	16
633	21	26	14	19
634	22	28	14	20
635	25	34	14	23
636	19	20	15	16
637	19	21	15	17
638	22	27	15	20
639	23	29	15	21
640	26	35	15	24
641	20	21	16	17
642	20	22	16	18
643	23	28	16	21
644	24	30	16	22
645	27	36	16	25
646	21	22	17	18
647	21	23	17	19
648	24	29	17	22
649	25	31	17	23
650	28	37	17	26
651	22	23	18	19
652	22	24	18	20
653	25	30	18	23
654	26	32	18	24
655	29	38	18	27
656	23	24	19	20
657	23	25	19	21
658	26	31	19	24
659	27	33	19	25
660	30	39	19	28
661	24	25	20	21
662	24	26	20	22
663	27	32	20	25
664	28	34	20	26
665	31	40	20	29
666	25	26	21	22
667	25	27	21	23
668	28	33	21	26
669	29	35	21	27
670	32	41	21	30
671	26	27	22	23
672	26	28	22	24
673	29	34	22	27
674	30	36	22	28
675	33	42	22	31
676	27	28	23	24
677	27	29	23	25
678	30	35	23	28
679	31	37	23	29
680	34	43	23	32
681	28	29	24	25
682	28	30	24	26
683	31	36	24	29
684	32	38	24	30
685	35	44	24	33
686	29	30	25	26
687	29	31	25	27
688	32	37	25	30
